name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
Oysters Women's 2 In 1 Running Shorts Quick Dry Gym Athletic Workout Shorts For Women With Phone Pockets;sports & fitness;4.0;3;₹629.10;₹999;;;;;;;;
Nivia Training_5 Shorts for Men | Shorts for Gym | Sports Shorts | Running Shorts (Black;M);https://www.amazon.in/Nivia-NIVIA-Training-5-Shorts/dp/B09CZ4MXN2/ref=sr_1_1208?qid=1679217174&s=sports&sr=1-1208;3.3;12;₹473;₹610;;;;;;;
Missby Regular Wear Anti-Tan Nylon Ankle Thumb Socks for Women and Girls (Black Color; Free Size;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41a6-aLo7RL._AC_UL320_.jpg;https://www.amazon.in/Missby-Regular-Anti-Tan-Nylon-Ankle/dp/B09VL9ZLBH/ref=sr_1_1209?qid=1679217174&s=sports&sr=1-1209;2.9;6;₹199;₹399;;;;;;
CHKOKKO Women Stylish Track Pant Workout Running Lower;sports & fitness;3.8;41;₹499;₹1,999;;;;;;;;
Jump Cuts Men's Slim Fit Pants;sports & fitness;3.5;522;₹332;₹1,119;;;;;;;;
2heet heet Women's Anti Bacterial Anti-Skid Yoga/Pilates/Dance/Ballet Made with Bamboo Cotton Walking & Bikram Fitness Soc...;sports & fitness;5.0;1;₹350;₹999;;;;;;;;
livo T-20 i10 Synthetic Wind Ball; Pack of 2 (White) ;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81Y9UCMHzmL._AC_UL320_.jpg;https://www.amazon.in/Livo-International-Original-i10-Wind-White/dp/B08KGK6SGR/ref=sr_1_1213?qid=1679217174&s=sports&sr=1-1213;4.0;98;₹189;₹399;;;;;;
LARSSST Women Purple Round Neck Solid Full Sleeve Sweatshirt-LRW_borawwhite;sports & fitness;4.1;61;₹499;₹1,599;;;;;;;;
French Connection Men's Regular Fit Cotton Blend Track Pants;sports & fitness;3.7;14;₹479;₹2,399;;;;;;;;
Levi's Men Sweatshirt;sports & fitness;3.0;2;₹1,189;₹3,399;;;;;;;;
PURSUE FASHION Multicolour Transparent Ankle Length Cotton Kitty Net Socks For Women and Girls; Ankle Socks for Women;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hMbdTljiL._AC_UL320_.jpg;https://www.amazon.in/Multicolour-Transparent-Ankle-Length-Cotton/dp/B09BVM6S6S/ref=sr_1_1217?qid=1679217174&s=sports&sr=1-1217;3.8;23;₹349;₹799;;;;;;
